GRAPH,CAPACITY,EXTRA,GREEDY,SLS_GREEDY,ANNEALING,OPTIMUM
misc/instances/grafo_10.dot,25,0,64,64,64,64
misc/instances/grafo_10.dot,50,0,128,128,128,128
misc/instances/grafo_10.dot,75,0,192,192,192,192
misc/instances/grafo_10.dot,100,0,209,225,230,256
misc/instances/grafo_10.dot,25,1,64,64,64,64
misc/instances/grafo_10.dot,50,1,128,128,128,128
misc/instances/grafo_10.dot,75,1,192,192,192,192
misc/instances/grafo_10.dot,100,1,209,225,232,256
misc/instances/grafo_10.dot,25,2,64,64,64,64
misc/instances/grafo_10.dot,50,2,128,128,128,128
misc/instances/grafo_10.dot,75,2,192,192,192,192
misc/instances/grafo_10.dot,100,2,209,225,222,256
misc/instances/grafo_10.dot,25,3,64,64,64,64
misc/instances/grafo_10.dot,50,3,128,128,128,128
misc/instances/grafo_10.dot,75,3,192,192,181,192
misc/instances/grafo_10.dot,100,3,209,225,232,256
misc/instances/grafo_10.dot,25,4,64,64,64,64
misc/instances/grafo_10.dot,50,4,128,128,128,128
misc/instances/grafo_10.dot,75,4,192,192,176,192
misc/instances/grafo_10.dot,100,4,209,225,225,256
misc/instances/grafo_11.dot,25,0,64,64,64,64
misc/instances/grafo_11.dot,50,0,128,128,128,128
misc/instances/grafo_11.dot,75,0,189,191,184,192
misc/instances/grafo_11.dot,100,0,209,223,220,256
misc/instances/grafo_11.dot,25,1,64,64,64,64
misc/instances/grafo_11.dot,50,1,128,128,128,128
misc/instances/grafo_11.dot,75,1,189,191,189,192
misc/instances/grafo_11.dot,100,1,209,223,222,256
misc/instances/grafo_11.dot,25,2,64,64,64,64
misc/instances/grafo_11.dot,50,2,128,128,128,128
misc/instances/grafo_11.dot,75,2,189,191,186,192
misc/instances/grafo_11.dot,100,2,209,223,227,256
misc/instances/grafo_11.dot,25,3,64,64,64,64
misc/instances/grafo_11.dot,50,3,128,128,128,128
misc/instances/grafo_11.dot,75,3,189,191,192,192
misc/instances/grafo_11.dot,100,3,209,223,221,256
misc/instances/grafo_11.dot,25,4,64,64,64,64
misc/instances/grafo_11.dot,50,4,128,128,128,128
misc/instances/grafo_11.dot,75,4,189,191,185,192
misc/instances/grafo_11.dot,100,4,209,223,226,256
misc/instances/grafo_12.dot,25,0,64,64,64,64
misc/instances/grafo_12.dot,50,0,128,128,128,128
misc/instances/grafo_12.dot,75,0,188,190,192,192
misc/instances/grafo_12.dot,100,0,199,226,227,256
misc/instances/grafo_12.dot,25,1,64,64,64,64
misc/instances/grafo_12.dot,50,1,128,128,128,128
misc/instances/grafo_12.dot,75,1,188,190,184,192
misc/instances/grafo_12.dot,100,1,199,226,235,256
misc/instances/grafo_12.dot,25,2,64,64,64,64
misc/instances/grafo_12.dot,50,2,128,128,128,128
misc/instances/grafo_12.dot,75,2,188,190,192,192
misc/instances/grafo_12.dot,100,2,199,226,229,256
misc/instances/grafo_12.dot,25,3,64,64,64,64
misc/instances/grafo_12.dot,50,3,128,128,128,128
misc/instances/grafo_12.dot,75,3,188,190,192,192
misc/instances/grafo_12.dot,100,3,199,226,232,256
misc/instances/grafo_12.dot,25,4,64,64,64,64
misc/instances/grafo_12.dot,50,4,128,128,128,128
misc/instances/grafo_12.dot,75,4,188,190,192,192
misc/instances/grafo_12.dot,100,4,199,226,231,256
misc/instances/grafo_13.dot,25,0,64,64,64,64
misc/instances/grafo_13.dot,50,0,128,128,128,128
misc/instances/grafo_13.dot,75,0,190,190,192,192
misc/instances/grafo_13.dot,100,0,206,224,224,256
misc/instances/grafo_13.dot,25,1,64,64,64,64
misc/instances/grafo_13.dot,50,1,128,128,128,128
misc/instances/grafo_13.dot,75,1,190,190,186,192
misc/instances/grafo_13.dot,100,1,206,224,225,256
misc/instances/grafo_13.dot,25,2,64,64,64,64
misc/instances/grafo_13.dot,50,2,128,128,128,128
misc/instances/grafo_13.dot,75,2,190,190,192,192
misc/instances/grafo_13.dot,100,2,206,224,225,256
misc/instances/grafo_13.dot,25,3,64,64,64,64
misc/instances/grafo_13.dot,50,3,128,128,128,128
misc/instances/grafo_13.dot,75,3,190,190,192,192
misc/instances/grafo_13.dot,100,3,206,224,227,256
misc/instances/grafo_13.dot,25,4,64,64,64,64
misc/instances/grafo_13.dot,50,4,128,128,128,128
misc/instances/grafo_13.dot,75,4,190,190,186,192
misc/instances/grafo_13.dot,100,4,206,224,224,256
misc/instances/grafo_14.dot,25,0,64,64,64,64
misc/instances/grafo_14.dot,50,0,128,128,128,128
misc/instances/grafo_14.dot,75,0,182,191,182,192
misc/instances/grafo_14.dot,100,0,200,222,228,256
misc/instances/grafo_14.dot,25,1,64,64,64,64
misc/instances/grafo_14.dot,50,1,128,128,128,128
misc/instances/grafo_14.dot,75,1,182,191,186,192
misc/instances/grafo_14.dot,100,1,200,222,228,256
misc/instances/grafo_14.dot,25,2,64,64,64,64
misc/instances/grafo_14.dot,50,2,128,128,128,128
misc/instances/grafo_14.dot,75,2,182,191,186,192
misc/instances/grafo_14.dot,100,2,200,222,218,256
misc/instances/grafo_14.dot,25,3,64,64,64,64
misc/instances/grafo_14.dot,50,3,128,128,128,128
misc/instances/grafo_14.dot,75,3,182,191,188,192
misc/instances/grafo_14.dot,100,3,200,222,221,256
misc/instances/grafo_14.dot,25,4,64,64,64,64
misc/instances/grafo_14.dot,50,4,128,128,128,128
misc/instances/grafo_14.dot,75,4,182,191,192,192
misc/instances/grafo_14.dot,100,4,200,222,227,256
misc/instances/grafo_15.dot,25,0,64,64,64,64
misc/instances/grafo_15.dot,50,0,128,128,128,128
misc/instances/grafo_15.dot,75,0,190,190,192,192
misc/instances/grafo_15.dot,100,0,212,220,223,256
misc/instances/grafo_15.dot,25,1,64,64,64,64
misc/instances/grafo_15.dot,50,1,128,128,128,128
misc/instances/grafo_15.dot,75,1,190,190,192,192
misc/instances/grafo_15.dot,100,1,212,220,228,256
misc/instances/grafo_15.dot,25,2,64,64,64,64
misc/instances/grafo_15.dot,50,2,128,128,128,128
misc/instances/grafo_15.dot,75,2,190,190,192,192
misc/instances/grafo_15.dot,100,2,212,220,229,256
misc/instances/grafo_15.dot,25,3,64,64,64,64
misc/instances/grafo_15.dot,50,3,128,128,128,128
misc/instances/grafo_15.dot,75,3,190,190,186,192
misc/instances/grafo_15.dot,100,3,212,220,225,256
misc/instances/grafo_15.dot,25,4,64,64,64,64
misc/instances/grafo_15.dot,50,4,128,128,128,128
misc/instances/grafo_15.dot,75,4,190,190,192,192
misc/instances/grafo_15.dot,100,4,212,220,218,256
misc/instances/grafo_16.dot,25,0,64,64,64,64
misc/instances/grafo_16.dot,50,0,128,128,128,128
misc/instances/grafo_16.dot,75,0,189,190,190,192
misc/instances/grafo_16.dot,100,0,205,226,224,256
misc/instances/grafo_16.dot,25,1,64,64,64,64
misc/instances/grafo_16.dot,50,1,128,128,128,128
misc/instances/grafo_16.dot,75,1,189,190,179,192
misc/instances/grafo_16.dot,100,1,205,226,226,256
misc/instances/grafo_16.dot,25,2,64,64,64,64
misc/instances/grafo_16.dot,50,2,128,128,128,128
misc/instances/grafo_16.dot,75,2,189,190,192,192
misc/instances/grafo_16.dot,100,2,205,226,223,256
misc/instances/grafo_16.dot,25,3,64,64,64,64
misc/instances/grafo_16.dot,50,3,128,128,128,128
misc/instances/grafo_16.dot,75,3,189,190,187,192
misc/instances/grafo_16.dot,100,3,205,226,224,256
misc/instances/grafo_16.dot,25,4,64,64,64,64
misc/instances/grafo_16.dot,50,4,128,128,128,128
misc/instances/grafo_16.dot,75,4,189,190,183,192
misc/instances/grafo_16.dot,100,4,205,226,225,256
misc/instances/grafo_1.dot,25,0,64,64,64,64
misc/instances/grafo_1.dot,50,0,128,128,128,128
misc/instances/grafo_1.dot,75,0,189,189,182,192
misc/instances/grafo_1.dot,100,0,204,228,229,256
misc/instances/grafo_1.dot,25,1,64,64,64,64
misc/instances/grafo_1.dot,50,1,128,128,128,128
misc/instances/grafo_1.dot,75,1,189,189,192,192
misc/instances/grafo_1.dot,100,1,204,228,229,256
misc/instances/grafo_1.dot,25,2,64,64,64,64
misc/instances/grafo_1.dot,50,2,128,128,128,128
misc/instances/grafo_1.dot,75,2,189,189,189,192
misc/instances/grafo_1.dot,100,2,204,228,230,256
misc/instances/grafo_1.dot,25,3,64,64,64,64
misc/instances/grafo_1.dot,50,3,128,128,128,128
misc/instances/grafo_1.dot,75,3,189,189,189,192
misc/instances/grafo_1.dot,100,3,204,228,230,256
misc/instances/grafo_1.dot,25,4,64,64,64,64
misc/instances/grafo_1.dot,50,4,128,128,128,128
misc/instances/grafo_1.dot,75,4,189,189,185,192
misc/instances/grafo_1.dot,100,4,204,228,224,256
misc/instances/grafo_2.dot,25,0,64,64,64,64
misc/instances/grafo_2.dot,50,0,128,128,128,128
misc/instances/grafo_2.dot,75,0,189,189,189,192
misc/instances/grafo_2.dot,100,0,207,223,227,256
misc/instances/grafo_2.dot,25,1,64,64,64,64
misc/instances/grafo_2.dot,50,1,128,128,128,128
misc/instances/grafo_2.dot,75,1,189,189,192,192
misc/instances/grafo_2.dot,100,1,207,223,224,256
misc/instances/grafo_2.dot,25,2,64,64,64,64
misc/instances/grafo_2.dot,50,2,128,128,128,128
misc/instances/grafo_2.dot,75,2,189,189,192,192
misc/instances/grafo_2.dot,100,2,207,223,226,256
misc/instances/grafo_2.dot,25,3,64,64,64,64
misc/instances/grafo_2.dot,50,3,128,128,128,128
misc/instances/grafo_2.dot,75,3,189,189,192,192
misc/instances/grafo_2.dot,100,3,207,223,232,256
misc/instances/grafo_2.dot,25,4,64,64,64,64
misc/instances/grafo_2.dot,50,4,128,128,128,128
misc/instances/grafo_2.dot,75,4,189,189,192,192
misc/instances/grafo_2.dot,100,4,207,223,227,256
misc/instances/grafo_3.dot,25,0,64,64,64,64
misc/instances/grafo_3.dot,50,0,128,128,128,128
misc/instances/grafo_3.dot,75,0,187,192,192,192
misc/instances/grafo_3.dot,100,0,210,231,233,256
misc/instances/grafo_3.dot,25,1,64,64,64,64
misc/instances/grafo_3.dot,50,1,128,128,128,128
misc/instances/grafo_3.dot,75,1,187,192,192,192
misc/instances/grafo_3.dot,100,1,210,231,234,256
misc/instances/grafo_3.dot,25,2,64,64,64,64
misc/instances/grafo_3.dot,50,2,128,128,128,128
misc/instances/grafo_3.dot,75,2,187,192,192,192
misc/instances/grafo_3.dot,100,2,210,231,226,256
misc/instances/grafo_3.dot,25,3,64,64,64,64
misc/instances/grafo_3.dot,50,3,128,128,128,128
misc/instances/grafo_3.dot,75,3,187,192,192,192
misc/instances/grafo_3.dot,100,3,210,231,222,256
misc/instances/grafo_3.dot,25,4,64,64,64,64
misc/instances/grafo_3.dot,50,4,128,128,128,128
misc/instances/grafo_3.dot,75,4,187,192,192,192
misc/instances/grafo_3.dot,100,4,210,231,231,256
misc/instances/grafo_4.dot,25,0,64,64,64,64
misc/instances/grafo_4.dot,50,0,128,128,128,128
misc/instances/grafo_4.dot,75,0,188,189,189,192
misc/instances/grafo_4.dot,100,0,203,224,226,256
misc/instances/grafo_4.dot,25,1,64,64,64,64
misc/instances/grafo_4.dot,50,1,128,128,128,128
misc/instances/grafo_4.dot,75,1,188,189,192,192
misc/instances/grafo_4.dot,100,1,203,224,225,256
misc/instances/grafo_4.dot,25,2,64,64,64,64
misc/instances/grafo_4.dot,50,2,128,128,128,128
misc/instances/grafo_4.dot,75,2,188,189,186,192
misc/instances/grafo_4.dot,100,2,203,224,226,256
misc/instances/grafo_4.dot,25,3,64,64,64,64
misc/instances/grafo_4.dot,50,3,128,128,128,128
misc/instances/grafo_4.dot,75,3,188,189,192,192
misc/instances/grafo_4.dot,100,3,203,224,228,256
misc/instances/grafo_4.dot,25,4,64,64,64,64
misc/instances/grafo_4.dot,50,4,128,128,128,128
misc/instances/grafo_4.dot,75,4,188,189,186,192
misc/instances/grafo_4.dot,100,4,203,224,228,256
misc/instances/grafo_5.dot,25,0,64,64,64,64
misc/instances/grafo_5.dot,50,0,128,128,128,128
misc/instances/grafo_5.dot,75,0,187,189,187,192
misc/instances/grafo_5.dot,100,0,205,229,229,256
misc/instances/grafo_5.dot,25,1,64,64,64,64
misc/instances/grafo_5.dot,50,1,128,128,128,128
misc/instances/grafo_5.dot,75,1,187,189,192,192
misc/instances/grafo_5.dot,100,1,205,229,229,256
misc/instances/grafo_5.dot,25,2,64,64,64,64
misc/instances/grafo_5.dot,50,2,128,128,128,128
misc/instances/grafo_5.dot,75,2,187,189,186,192
misc/instances/grafo_5.dot,100,2,205,229,226,256
misc/instances/grafo_5.dot,25,3,64,64,64,64
misc/instances/grafo_5.dot,50,3,128,128,128,128
misc/instances/grafo_5.dot,75,3,187,189,192,192
misc/instances/grafo_5.dot,100,3,205,229,231,256
misc/instances/grafo_5.dot,25,4,64,64,64,64
misc/instances/grafo_5.dot,50,4,128,128,128,128
misc/instances/grafo_5.dot,75,4,187,189,192,192
misc/instances/grafo_5.dot,100,4,205,229,229,256
misc/instances/grafo_6.dot,25,0,64,64,64,64
misc/instances/grafo_6.dot,50,0,128,128,128,128
misc/instances/grafo_6.dot,75,0,187,192,192,192
misc/instances/grafo_6.dot,100,0,207,224,229,256
misc/instances/grafo_6.dot,25,1,64,64,64,64
misc/instances/grafo_6.dot,50,1,128,128,128,128
misc/instances/grafo_6.dot,75,1,187,192,192,192
misc/instances/grafo_6.dot,100,1,207,224,231,256
misc/instances/grafo_6.dot,25,2,64,64,64,64
misc/instances/grafo_6.dot,50,2,128,128,128,128
misc/instances/grafo_6.dot,75,2,187,192,184,192
misc/instances/grafo_6.dot,100,2,207,224,232,256
misc/instances/grafo_6.dot,25,3,64,64,64,64
misc/instances/grafo_6.dot,50,3,128,128,128,128
misc/instances/grafo_6.dot,75,3,187,192,192,192
misc/instances/grafo_6.dot,100,3,207,224,224,256
misc/instances/grafo_6.dot,25,4,64,64,64,64
misc/instances/grafo_6.dot,50,4,128,128,128,128
misc/instances/grafo_6.dot,75,4,187,192,192,192
misc/instances/grafo_6.dot,100,4,207,224,231,256
misc/instances/grafo_7.dot,25,0,64,64,64,64
misc/instances/grafo_7.dot,50,0,128,128,128,128
misc/instances/grafo_7.dot,75,0,187,187,192,192
misc/instances/grafo_7.dot,100,0,201,215,230,256
misc/instances/grafo_7.dot,25,1,64,64,64,64
misc/instances/grafo_7.dot,50,1,128,128,128,128
misc/instances/grafo_7.dot,75,1,187,187,186,192
misc/instances/grafo_7.dot,100,1,201,215,230,256
misc/instances/grafo_7.dot,25,2,64,64,64,64
misc/instances/grafo_7.dot,50,2,128,128,128,128
misc/instances/grafo_7.dot,75,2,187,187,185,192
misc/instances/grafo_7.dot,100,2,201,215,221,256
misc/instances/grafo_7.dot,25,3,64,64,64,64
misc/instances/grafo_7.dot,50,3,128,128,128,128
misc/instances/grafo_7.dot,75,3,187,187,184,192
misc/instances/grafo_7.dot,100,3,201,215,234,256
misc/instances/grafo_7.dot,25,4,64,64,64,64
misc/instances/grafo_7.dot,50,4,128,128,128,128
misc/instances/grafo_7.dot,75,4,187,187,182,192
misc/instances/grafo_7.dot,100,4,201,215,224,256
misc/instances/grafo_8.dot,25,0,64,64,64,64
misc/instances/grafo_8.dot,50,0,128,128,128,128
misc/instances/grafo_8.dot,75,0,189,190,192,192
misc/instances/grafo_8.dot,100,0,207,220,223,256
misc/instances/grafo_8.dot,25,1,64,64,64,64
misc/instances/grafo_8.dot,50,1,128,128,128,128
misc/instances/grafo_8.dot,75,1,189,190,185,192
misc/instances/grafo_8.dot,100,1,207,220,229,256
misc/instances/grafo_8.dot,25,2,64,64,64,64
misc/instances/grafo_8.dot,50,2,128,128,128,128
misc/instances/grafo_8.dot,75,2,189,190,183,192
misc/instances/grafo_8.dot,100,2,207,220,223,256
misc/instances/grafo_8.dot,25,3,64,64,64,64
misc/instances/grafo_8.dot,50,3,128,128,128,128
misc/instances/grafo_8.dot,75,3,189,190,184,192
misc/instances/grafo_8.dot,100,3,207,220,227,256
misc/instances/grafo_8.dot,25,4,64,64,64,64
misc/instances/grafo_8.dot,50,4,128,128,128,128
misc/instances/grafo_8.dot,75,4,189,190,184,192
misc/instances/grafo_8.dot,100,4,207,220,231,256
misc/instances/grafo_9.dot,25,0,64,64,64,64
misc/instances/grafo_9.dot,50,0,128,128,128,128
misc/instances/grafo_9.dot,75,0,191,191,192,192
misc/instances/grafo_9.dot,100,0,208,220,222,256
misc/instances/grafo_9.dot,25,1,64,64,64,64
misc/instances/grafo_9.dot,50,1,128,128,128,128
misc/instances/grafo_9.dot,75,1,191,191,186,192
misc/instances/grafo_9.dot,100,1,208,220,232,256
misc/instances/grafo_9.dot,25,2,64,64,64,64
misc/instances/grafo_9.dot,50,2,128,128,128,128
misc/instances/grafo_9.dot,75,2,191,191,186,192
misc/instances/grafo_9.dot,100,2,208,220,226,256
misc/instances/grafo_9.dot,25,3,64,64,64,64
misc/instances/grafo_9.dot,50,3,128,128,128,128
misc/instances/grafo_9.dot,75,3,191,191,184,192
misc/instances/grafo_9.dot,100,3,208,220,212,256
misc/instances/grafo_9.dot,25,4,64,64,64,64
misc/instances/grafo_9.dot,50,4,128,128,128,128
misc/instances/grafo_9.dot,75,4,191,191,188,192
misc/instances/grafo_9.dot,100,4,208,220,226,256